Lake George Water Temp 2020,
7/3/2020,71.49
7/3/2020,71.37
7/3/2020,71.49
7/3/2020,71.49
7/3/2020,71.37
7/3/2020,71.49
7/3/2020,71.49
7/3/2020,71.49
7/3/2020,71.6
7/3/2020,71.49
7/3/2020,71.6
7/3/2020,71.71
7/3/2020,72.16
7/3/2020,72.28
7/3/2020,72.61
7/3/2020,73.06
7/3/2020,73.29
7/3/2020,73.4
7/3/2020,73.51
7/3/2020,73.4
7/3/2020,73.29
7/3/2020,73.18
7/3/2020,73.18
7/3/2020,73.06
7/3/2020,72.84
7/3/2020,72.84
7/4/2020,72.61
7/4/2020,72.5
7/4/2020,72.39
7/4/2020,72.28
7/4/2020,72.28
7/4/2020,72.39
7/4/2020,72.28
7/4/2020,72.39
7/4/2020,72.28
7/4/2020,72.39
7/4/2020,73.06
7/4/2020,73.06
7/4/2020,73.4
7/4/2020,73.85
7/4/2020,74.3
7/4/2020,74.41
7/4/2020,74.41
7/4/2020,74.53
7/4/2020,74.75
7/4/2020,74.75
7/4/2020,74.75
7/4/2020,74.86
7/4/2020,74.86
7/4/2020,74.75
7/4/2020,74.75
7/4/2020,74.64
7/4/2020,74.64
7/4/2020,74.3
7/4/2020,74.3
7/4/2020,74.3
7/4/2020,74.3
7/4/2020,74.3
7/5/2020,74.19
7/5/2020,74.19
7/5/2020,74.07
7/5/2020,73.96
7/5/2020,73.51
7/5/2020,73.29
7/5/2020,73.18
7/5/2020,73.29
7/5/2020,73.29
7/5/2020,73.29
7/5/2020,73.29
7/5/2020,73.29
7/5/2020,73.51
7/5/2020,73.51
7/5/2020,73.74
7/5/2020,73.74
7/5/2020,73.85
7/5/2020,73.85
7/5/2020,73.96
7/5/2020,74.07
7/5/2020,74.19
7/5/2020,74.53
7/5/2020,74.53
7/5/2020,74.64
7/5/2020,74.64
7/5/2020,74.64
7/5/2020,74.64
7/5/2020,74.64
7/5/2020,74.75
7/5/2020,74.64
7/5/2020,74.75
7/5/2020,74.75
7/5/2020,74.75
7/5/2020,74.75
7/5/2020,74.86
7/5/2020,74.53
7/5/2020,74.53
7/5/2020,74.41
7/5/2020,74.41
7/5/2020,74.41
7/6/2020,74.41
7/6/2020,74.19
7/6/2020,74.07
7/6/2020,74.07
7/6/2020,74.07
7/6/2020,74.07
7/6/2020,73.96
7/6/2020,73.96
7/6/2020,73.96
7/6/2020,73.96
7/6/2020,73.85
7/6/2020,73.85
7/6/2020,73.74
7/6/2020,73.74
7/6/2020,73.74
7/6/2020,73.74
7/6/2020,73.74
7/6/2020,73.74
7/6/2020,74.3
7/6/2020,74.41
7/6/2020,74.53
7/6/2020,74.75
7/6/2020,75.09
7/6/2020,75.65
7/6/2020,75.76
