Provisional,Location,Parameter,Date,Observed
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/2/2020 8:00:00 PM,60.41
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/2/2020 9:00:00 PM,60.28
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/2/2020 10:00:00 PM,60.12
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/2/2020 11:00:00 PM,59.97
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/3/2020 12:00:00 AM,59.86
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/3/2020 1:00:00 AM,59.72
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/3/2020 2:00:00 AM,59.56
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/3/2020 3:00:00 AM,59.43
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/3/2020 4:00:00 AM,59.32
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/3/2020 5:00:00 AM,59.19
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/3/2020 6:00:00 AM,59.04
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/3/2020 7:00:00 AM,58.91
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/3/2020 8:00:00 AM,58.85
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/3/2020 9:00:00 AM,58.84
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/3/2020 10:00:00 AM,58.94
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/3/2020 11:00:00 AM,59.15
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/3/2020 12:00:00 PM,59.69
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/3/2020 1:00:00 PM,60.32
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/3/2020 2:00:00 PM,60.54
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/3/2020 3:00:00 PM,60.48
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/3/2020 4:00:00 PM,60.51
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/3/2020 5:00:00 PM,60.69
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/3/2020 6:00:00 PM,60.88
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/3/2020 7:00:00 PM,60.89
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/3/2020 8:00:00 PM,60.71
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/3/2020 9:00:00 PM,60.54
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/3/2020 10:00:00 PM,60.41
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/3/2020 11:00:00 PM,60.3
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/4/2020 12:00:00 AM,60.24
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/4/2020 1:00:00 AM,60.16
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/4/2020 2:00:00 AM,60.11
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/4/2020 3:00:00 AM,60.02
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/4/2020 4:00:00 AM,59.94
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/4/2020 5:00:00 AM,59.86
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/4/2020 6:00:00 AM,59.78
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/4/2020 7:00:00 AM,59.69
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/4/2020 8:00:00 AM,59.67
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/4/2020 9:00:00 AM,59.68
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/4/2020 10:00:00 AM,59.75
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/4/2020 11:00:00 AM,60.19
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/4/2020 12:00:00 PM,60.63
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/4/2020 1:00:00 PM,61.04
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/4/2020 2:00:00 PM,61.02
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/4/2020 3:00:00 PM,61.21
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/4/2020 4:00:00 PM,61.17
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/4/2020 5:00:00 PM,61.14
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/4/2020 6:00:00 PM,61.19
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/4/2020 7:00:00 PM,61.26
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/4/2020 8:00:00 PM,61.35
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/4/2020 9:00:00 PM,61.51
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/4/2020 10:00:00 PM,61.53
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/4/2020 11:00:00 PM,61.46
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/5/2020 12:00:00 AM,61.29
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/5/2020 1:00:00 AM,61.13
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/5/2020 2:00:00 AM,60.98
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/5/2020 3:00:00 AM,60.91
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/5/2020 4:00:00 AM,60.82
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/5/2020 5:00:00 AM,60.72
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/5/2020 6:00:00 AM,60.63
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/5/2020 7:00:00 AM,60.57
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/5/2020 8:00:00 AM,60.58
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/5/2020 9:00:00 AM,60.73
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/5/2020 10:00:00 AM,61.02
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/5/2020 11:00:00 AM,61.49
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/5/2020 12:00:00 PM,61.87
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/5/2020 1:00:00 PM,62.07
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/5/2020 2:00:00 PM,62.21
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/5/2020 3:00:00 PM,61.87
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/5/2020 4:00:00 PM,61.99
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/5/2020 5:00:00 PM,61.08
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/5/2020 6:00:00 PM,59.29
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/5/2020 7:00:00 PM,58.92
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/5/2020 8:00:00 PM,58.05
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/5/2020 9:00:00 PM,57.84
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/5/2020 10:00:00 PM,57.83
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/5/2020 11:00:00 PM,57.88
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/6/2020 12:00:00 AM,57.99
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/6/2020 1:00:00 AM,58.1
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/6/2020 2:00:00 AM,58.33
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/6/2020 3:00:00 AM,58.5
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/6/2020 4:00:00 AM,58.64
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/6/2020 5:00:00 AM,58.72
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/6/2020 6:00:00 AM,58.79
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/6/2020 7:00:00 AM,58.94
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/6/2020 8:00:00 AM,59.17
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/6/2020 9:00:00 AM,59.98
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/6/2020 10:00:00 AM,61.14
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/6/2020 11:00:00 AM,61.84
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/6/2020 12:00:00 PM,62.01
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/6/2020 1:00:00 PM,61.48
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/6/2020 2:00:00 PM,62.06
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/6/2020 3:00:00 PM,62.31
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/6/2020 4:00:00 PM,62.54
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/6/2020 5:00:00 PM,62.26
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/6/2020 6:00:00 PM,62.23
